paraphraser,iteration,dep_depth
chatgpt,T0,5.275037367071383
chatgpt,T1,5.745283495914604
chatgpt,T2,5.777873723589409
chatgpt,T3,5.82578567946215
dipper_bare,T0,5.275037367071383
dipper_bare,T1,5.399717653862857
dipper_bare,T2,5.2278655669784255
dipper_bare,T3,5.143033048825848
dipper_low,T0,5.275037367071383
dipper_low,T1,5.289768956939757
dipper_low,T2,5.276852840956865
dipper_low,T3,5.246137041255516
palm,T0,5.275037367071383
palm,T1,5.359287105948668
palm,T2,5.302156191834066
palm,T3,5.441083509627627
pegasus_full,T0,5.275037367071383
pegasus_full,T1,4.830891860531434
pegasus_full,T2,4.2968775995620065
pegasus_full,T3,4.582357507930732
pegasus_slight,T0,5.275037367071383
pegasus_slight,T1,5.346579445605176
pegasus_slight,T2,5.222545235642252
pegasus_slight,T3,4.83945964203895
