T1,T2,T3
0.93637276,0.8517457,0.86307925
0.9299919,0.91075766,0.89822286
0.8991847,0.89073884,0.85778594
0.8276347,0.8483834,0.7961753
0.95220566,0.94032204,0.94670635
0.87615746,0.8762795,0.82643336
0.84269935,0.8751159,0.78834206
0.9566825,0.95399487,0.92980075
0.8850082,0.86611795,0.8490354
0.8918361,0.89500314,0.8704161
0.933511,0.9457135,0.9547082
0.92134,0.8762901,0.76217866
0.94534737,0.9258969,0.93648076
0.7828052,0.7263075,0.76037145
0.7867986,0.80668974,0.81034124
0.60728025,0.46106976,0.46796298
0.75362664,0.7485721,0.73922825
0.84769154,0.87482995,0.8471884
0.76150614,0.7798215,0.7683282
0.79877687,0.87869173,0.8658774
0.9537077,0.94986117,0.9380287
0.91567564,0.907383,0.9150815
0.953086,0.93585706,0.9202517
0.9223586,0.87473893,0.82305264
0.8779947,0.81316566,0.8293373
0.95153606,0.8794538,0.91552484
0.72594476,0.7273683,0.72954917
0.8641592,0.7928673,0.79139555
0.8985409,0.8590625,0.85022616
0.90898037,0.9109327,0.90043515
0.8716396,0.8584924,0.84746474
0.9409991,0.9121243,0.920709
0.9652801,0.91739124,0.8814547
0.78021395,0.7451491,0.7693102
0.94259596,0.88070583,0.9021535
0.86249536,0.82373345,0.80650645
0.8710046,0.8215824,0.82635516
0.9584451,0.9120182,0.90111816
0.7018134,0.70735466,0.68256575
0.88921255,0.8956655,0.88349986
0.9117137,0.9094729,0.8928837
0.86436564,0.8366877,0.8217836
0.6373743,0.60890496,0.6167812
0.93607336,0.9189304,0.885759
0.9251595,0.90577817,0.86713207
0.9136684,0.9367747,0.92605585
0.82373786,0.75390315,0.7418216
0.90858513,0.9132468,0.9075668
0.92847043,0.9270732,0.925529
0.94074196,0.9292782,0.9315138
0.92233336,0.91090095,0.9050163
0.85185826,0.81723547,0.77330863
0.9288844,0.92612743,0.9172567
0.9004152,0.86183155,0.8407067
0.8751348,0.86560416,0.8743641
0.8197783,0.7688124,0.7824416
0.9134249,0.87628776,0.8702322
0.8856539,0.854169,0.8775887
0.85129815,0.87343764,0.8674872
0.8216939,0.8478621,0.7805314
0.8151605,0.82591325,0.80608755
0.92886007,0.93028015,0.93521345
0.93006986,0.8944352,0.9046308
0.9051094,0.8970902,0.8940232
0.9270471,0.90476686,0.8970424
0.87084764,0.844831,0.80854875
0.8907106,0.8893654,0.87956536
0.9447839,0.94660854,0.9385643
0.8882466,0.83361006,0.80068034
0.9239297,0.8976113,0.87419915
0.95497644,0.93927234,0.8781897
0.4671175,0.46678782,0.5058335
0.89561677,0.8984449,0.84498036
0.8211826,0.8622329,0.8669137
0.86630416,0.87489367,0.8719251
0.8385426,0.8415524,0.82256836
0.88751334,0.9003334,0.9006004
0.90845597,0.85613275,0.86461294
0.8622183,0.85731256,0.845039
0.8497197,0.8479502,0.84159267
0.8556843,0.85178673,0.85025334
0.9003761,0.8335974,0.8855736
0.92748594,0.9253749,0.92282903
0.9191227,0.91499436,0.90263486
0.87262344,0.84932834,0.85053885
0.9416954,0.93152946,0.9401993
0.9107337,0.9085401,0.89884394
0.84429795,0.811622,0.7632345
0.8647722,0.87576276,0.88781416
0.9253469,0.8960762,0.8529932
0.96787596,0.9570169,0.96062124
0.8681192,0.8705555,0.85341364
0.7750036,0.7612637,0.7433033
0.93450856,0.90358996,0.9158625
0.78207755,0.821219,0.7961266
0.8960546,0.89250666,0.8917116
0.8377769,0.8495115,0.8270111
0.96424955,0.9387372,0.9427414
0.94769335,0.91401696,0.89822966
0.93679833,0.879588,0.89854026
0.9028541,0.8697184,0.80860925
0.8377678,0.81406534,0.82985383
0.89150184,0.9138876,0.895256
0.8781193,0.85962117,0.859752
0.7953733,0.7778245,0.78676224
0.8890517,0.8605356,0.77059484
0.9551709,0.9598019,0.93573546
0.89925456,0.90119314,0.88415414
0.8475354,0.8251322,0.7997368
0.6108582,0.6220844,0.6070102
0.80964935,0.8538602,0.81029934
0.8823309,0.8515547,0.8480811
0.9165032,0.9269756,0.9240626
0.8800051,0.9014728,0.87147605
0.8611341,0.87642294,0.8064681
0.80602634,0.8002299,0.7890663
0.68281585,0.6938194,0.69366336
0.94050777,0.92381,0.9304296
0.819452,0.8126085,0.79670364
0.8823168,0.86392736,0.77481997
0.7940354,0.79550135,0.7963629
0.80682904,0.8823583,0.761554
0.8220419,0.8114805,0.80388874
0.8552956,0.84494543,0.84843975
0.9542382,0.9171345,0.9072551
0.93877983,0.64955723,0.9218818
0.89662933,0.88243496,0.8694815
0.8696047,0.8791503,0.8800043
0.90565395,0.8869022,0.8311621
0.89252985,0.88093126,0.8998904
0.8780462,0.8681565,0.84888446
0.93372476,0.92561585,0.9042609
0.9334745,0.92652905,0.91748995
0.695611,0.63426125,0.6162325
0.66618073,0.6463385,0.6903386
0.8649288,0.8211906,0.8195549
0.8928494,0.87816024,0.8103129
0.899644,0.77537096,0.7749554
0.8856522,0.8909858,0.87980366
0.9203775,0.85929704,0.8436791
0.90946984,0.934484,0.87853444
0.87572026,0.8772944,0.85056704
0.9099675,0.8806995,0.8621661
0.9007367,0.89844096,0.8781734
0.8732239,0.8689544,0.8590394
0.94144434,0.86099386,0.84413356
0.9359566,0.9410294,0.9339014
0.9104204,0.8896465,0.88530636
0.90206826,0.89859176,0.8767464
0.88311416,0.8922249,0.85352266
0.8856807,0.8703822,0.85194576
0.903816,0.8594714,0.8619771
0.91155475,0.8664625,0.8468151
0.9538657,0.8820584,0.87938094
0.8469073,0.7673583,0.7553661
0.92757726,0.92310643,0.9074992
0.95157236,0.93859303,0.9463197
0.85665953,0.8477409,0.82567203
0.904006,0.90507543,0.90008605
0.8767044,0.86127186,0.8439416
0.8066944,0.8266474,0.83835614
0.81385195,0.75602907,0.8064182
0.9085354,0.8877065,0.89626
0.8795344,0.8097341,0.7841316
0.8737828,0.8701616,0.86288583
0.9193781,0.92575735,0.92066914
