x,y,iteration,src_group,dataset
-71.405426,55.816723,T0,LLM,cmv
-37.97968,-31.438192,T0,LLM,cmv
75.707306,54.111336,T0,LLM,cmv
15.274532,4.319183,T0,LLM,cmv
-25.903862,-111.81414,T0,LLM,cmv
-1.9838474,-22.544252,T0,LLM,cmv
-28.449545,-26.587008,T0,LLM,cmv
-49.310905,14.561667,T0,LLM,cmv
-15.837817,-25.651346,T0,LLM,cmv
-55.537914,-28.63153,T0,LLM,cmv
-59.963123,5.5609865,T0,LLM,cmv
18.12002,3.5521047,T0,LLM,cmv
-101.67286,18.763433,T0,LLM,cmv
81.710464,47.973286,T0,LLM,cmv
-76.109764,-52.008698,T0,LLM,cmv
-18.086264,-4.784015,T0,LLM,cmv
15.579429,0.075662814,T0,LLM,cmv
-36.98987,-17.795927,T0,LLM,cmv
2.5056205,-19.298317,T0,LLM,cmv
-51.438515,-31.15646,T0,LLM,cmv
-20.620625,-6.7590814,T0,LLM,cmv
-7.389896,35.92662,T0,LLM,cmv
-9.827913,0.25461173,T0,LLM,cmv
-3.263168,-20.713558,T0,LLM,cmv
-2.7046306,42.426914,T0,LLM,cmv
18.780428,12.5662155,T0,LLM,cmv
-89.508705,-32.504436,T0,LLM,cmv
-4.747847,14.180157,T0,LLM,cmv
-9.684567,-29.854065,T0,LLM,cmv
-13.279018,-22.559008,T0,LLM,cmv
-5.1066465,-23.959198,T0,LLM,cmv
2.6471667,31.162802,T0,LLM,cmv
-19.704357,-41.697994,T0,LLM,cmv
-17.751328,-7.8517237,T0,LLM,cmv
-16.686092,-39.234024,T0,LLM,cmv
-4.1524253,-25.06467,T0,LLM,cmv
-3.7671258,-25.277231,T0,LLM,cmv
55.302525,55.597553,T0,LLM,cmv
-77.37683,-51.61749,T0,LLM,cmv
-88.520294,-41.888344,T0,LLM,cmv
-13.071543,-34.504467,T0,LLM,cmv
-15.391756,8.07821,T0,LLM,cmv
-14.134194,-20.754702,T0,LLM,cmv
-65.269775,-65.93983,T0,LLM,cmv
-70.17832,-33.51879,T0,LLM,cmv
-24.826868,-28.587208,T0,LLM,cmv
-0.084824905,-6.132412,T0,LLM,cmv
